YEAR,age,gender,marital_status,race,birth_place,education,occupation,industry,hours_per_week,income
1990,58,1,0,0,0,0,796,1,0,0
1990,47,2,0,0,0,0,0,0,0,0
1990,27,1,0,0,0,0,496,1,15,0
1990,24,2,0,0,0,0,449,4,0,0
1990,32,1,0,1,0,1,889,2,40,0
1990,27,2,0,1,0,1,674,1,40,0
1990,48,1,0,0,0,0,643,2,40,0
1990,49,2,0,0,0,0,243,1,37,0
1990,18,1,1,0,0,0,0,0,0,0
1990,77,2,3,0,0,0,0,0,0,0
1990,55,2,1,0,0,0,0,0,0,0
1990,40,1,0,0,0,0,613,0,40,0
1990,37,2,0,0,0,1,315,4,40,0
1990,58,2,2,0,0,0,744,1,0,0
1990,35,1,0,0,0,0,616,0,50,0
1990,33,2,0,0,0,0,785,1,35,0
1990,27,1,0,0,0,0,577,2,40,0
1990,29,2,0,0,0,0,308,3,40,0
1990,32,1,0,0,0,0,856,2,40,0
1990,29,2,0,0,0,1,95,5,40,0
1990,50,1,0,0,0,0,783,0,36,0
1990,49,2,0,0,0,0,383,4,40,0
1990,48,1,0,0,0,1,213,1,40,1
1990,43,2,0,0,0,0,376,3,40,1
1990,79,2,3,0,0,0,0,0,0,0
1990,69,1,0,0,0,0,426,5,40,0
1990,67,2,0,0,0,0,0,0,0,0
1990,39,1,2,0,0,1,577,2,40,0
1990,38,1,0,0,0,1,734,1,40,0
1990,30,2,0,0,0,0,709,1,40,0
1990,67,1,0,0,0,0,804,0,24,0
1990,63,2,0,0,0,0,447,5,0,0
1990,51,1,0,0,0,1,217,0,45,0
1990,44,2,0,0,0,0,319,5,43,0
1990,73,1,0,0,0,0,259,3,45,0
1990,70,2,0,0,0,0,313,3,18,0
1990,34,1,0,0,0,0,14,5,40,0
1990,32,2,0,0,0,0,0,0,0,0
1990,44,1,0,0,0,1,637,1,40,0
1990,39,2,0,0,0,1,7,4,35,0
1990,19,2,1,0,0,1,447,5,24,0
1990,54,1,0,0,0,0,783,1,40,0
1990,48,2,0,0,0,0,338,0,40,0
1990,80,2,1,0,0,0,0,0,0,0
1990,61,2,2,0,0,0,0,0,0,0
1990,61,2,2,1,0,1,5,6,40,0
1990,29,1,0,0,0,1,56,1,48,0
1990,28,2,0,0,0,0,383,4,40,0
1990,32,2,1,1,0,0,447,5,40,0
1990,32,1,0,0,0,0,0,0,0,0
1990,40,2,0,0,0,1,207,5,40,0
1990,39,1,0,0,0,0,579,0,40,0
1990,35,2,0,0,0,1,95,5,40,0
1990,61,1,0,0,0,0,859,1,48,0
1990,58,2,0,0,0,0,687,3,48,0
1990,62,1,0,0,0,0,628,1,8,0
1990,58,2,0,0,0,0,319,6,40,0
1990,32,2,2,0,0,0,744,1,40,0
1990,19,1,0,1,0,0,888,1,40,0
1990,22,2,0,1,0,0,744,1,40,0
1990,51,1,0,0,0,0,453,1,13,0
1990,54,2,0,0,0,0,276,3,40,0
1990,41,2,3,0,0,0,744,1,35,0
1990,37,1,2,0,0,0,544,1,45,0
1990,26,1,1,1,0,0,759,1,40,0
1990,25,2,1,1,0,1,777,1,40,0
1990,56,1,1,1,0,0,808,5,20,0
1990,41,2,0,0,0,1,379,4,40,0
1990,41,1,0,0,0,0,0,0,0,0
1990,75,2,3,0,0,1,0,0,0,0
1990,76,2,3,0,0,0,0,0,0,0
1990,47,1,1,0,0,0,0,0,0,0
1990,65,1,0,0,0,0,0,0,0,0
1990,45,2,0,0,0,1,254,4,32,0
1990,64,1,0,0,0,0,243,3,60,0
1990,64,2,0,0,0,0,0,0,0,0
1990,43,1,0,0,0,1,23,5,40,1
1990,43,2,0,0,0,1,156,5,40,0
1990,23,2,1,0,0,1,23,5,45,0
1990,21,1,1,0,0,1,23,5,5,0
1990,55,1,0,0,0,0,724,1,48,0
1990,53,2,0,0,0,0,739,1,40,0
1990,62,1,0,0,0,0,0,0,0,0
1990,59,2,0,0,0,0,0,0,0,0
1990,79,2,3,0,0,0,0,0,0,0
1990,53,1,0,0,0,0,585,4,40,0
1990,53,2,0,0,0,0,744,1,24,0
1990,27,1,0,0,0,1,567,1,56,0
1990,26,2,0,0,0,1,207,5,40,0
1990,50,1,0,1,0,0,859,0,40,0
1990,50,2,0,1,0,0,744,1,32,0
1990,18,2,1,1,0,0,0,0,0,0
1990,30,1,3,1,0,1,744,1,32,0
1990,48,2,1,1,0,0,447,5,40,0
1990,73,2,3,1,0,0,0,0,0,0
1990,36,2,3,1,0,1,747,1,35,0
1990,26,1,0,0,0,0,779,1,48,0
1990,29,2,0,0,0,1,67,1,42,0
1990,76,2,0,0,0,0,0,0,0,0
1990,76,1,0,0,0,0,253,4,20,0
1990,41,1,0,0,0,1,179,6,40,1
1990,34,2,0,0,0,1,156,5,40,0
1990,73,1,0,0,0,0,0,0,0,0
1990,71,2,0,0,0,0,0,0,0,0
1990,59,1,0,0,0,1,17,3,40,0
1990,57,2,0,0,0,1,243,3,60,0
1990,32,2,3,1,0,0,436,3,37,0
1990,70,2,3,1,0,0,0,0,0,0
1990,33,2,1,1,0,0,0,0,0,0
1990,35,1,0,0,0,0,389,1,0,0
1990,34,2,0,0,0,0,25,4,0,0
1990,36,1,0,0,0,1,22,2,50,0
1990,30,2,0,0,0,0,185,3,30,0
1990,39,1,1,1,0,0,0,0,0,0
1990,45,1,0,0,0,1,27,6,40,0
1990,45,2,0,0,0,0,337,2,45,0
1990,65,1,0,0,0,1,0,0,0,0
1990,66,2,0,0,0,0,0,0,0,0
1990,21,1,1,1,0,0,744,1,30,0
1990,53,1,0,0,0,1,26,5,40,0
1990,50,2,0,0,0,1,156,5,40,0
1990,69,2,3,0,0,0,0,0,0,0
1990,44,1,1,0,0,0,0,0,0,0
1990,26,1,0,0,0,0,783,1,40,0
1990,22,2,0,0,0,0,888,1,40,0
1990,21,1,1,0,0,0,274,3,40,0
1990,51,2,2,0,0,0,436,3,40,0
1990,19,2,2,0,0,0,438,3,40,0
1990,58,2,3,0,0,0,0,0,0,0
1990,70,1,0,1,0,0,0,0,0,0
1990,71,2,0,1,0,0,0,0,0,0
1990,32,1,0,0,0,0,829,0,40,0
1990,27,2,0,0,0,0,276,3,31,0
1990,27,2,1,1,0,0,0,0,0,0
1990,69,1,0,1,0,0,0,0,0,0
1990,67,2,0,1,0,0,436,5,37,0
1990,52,1,0,1,0,0,567,0,40,0
1990,51,2,0,1,0,0,0,0,0,0
1990,31,1,1,1,0,0,567,0,0,0
1990,55,2,3,1,0,0,436,3,24,0
1990,44,2,2,1,0,0,666,4,35,0
1990,26,1,1,1,0,1,866,2,45,0
1990,65,2,3,1,0,0,0,0,0,0
1990,35,1,2,1,0,0,593,0,40,0
1990,28,1,1,1,0,0,883,3,40,0
1990,20,2,1,1,0,1,0,0,0,0
1990,61,1,0,0,0,0,777,1,40,0
1990,55,2,0,0,0,0,0,0,0,0
1990,52,2,0,0,0,0,0,0,0,0
1990,52,1,0,0,0,0,795,3,40,0
1990,64,1,0,0,0,0,885,1,0,0
1990,60,2,0,0,0,0,0,0,0,0
1990,76,2,3,0,0,0,274,3,40,0
1990,68,1,0,0,0,0,0,0,0,0
1990,66,2,0,0,0,0,0,0,0,0
1990,34,1,0,0,0,1,84,5,70,0
1990,22,2,0,0,0,1,377,5,48,0
1990,36,1,0,0,0,0,628,0,60,0
1990,31,2,0,0,0,1,22,0,40,0
1990,18,1,1,0,2,0,0,0,0,0
1990,43,1,0,0,0,0,709,0,90,0
1990,45,2,0,0,0,1,387,5,40,0
1990,38,1,0,0,0,0,366,2,0,0
1990,35,2,0,0,0,1,0,0,0,0
1990,65,1,3,0,0,0,426,4,40,0
1990,38,1,0,1,0,0,475,0,46,0
1990,39,2,0,1,0,1,167,5,40,0
1990,19,2,1,1,0,1,0,0,0,0
1990,75,2,3,0,0,1,243,3,0,0
1990,55,1,2,0,0,1,216,5,45,0
1990,78,2,2,0,0,1,183,5,39,0
1990,20,2,0,0,0,1,243,3,40,0
1990,21,1,0,0,0,0,274,3,0,0
1990,72,2,3,1,0,0,0,0,0,0
1990,26,2,1,1,0,1,447,5,40,0
1990,49,2,2,1,0,1,95,5,40,0
1990,29,2,3,1,2,1,373,3,30,0
1990,42,1,0,0,3,1,145,5,40,0
1990,47,2,0,0,0,1,156,5,46,0
1990,28,1,0,1,0,0,263,3,45,0
1990,26,2,0,1,0,1,315,3,25,0
1990,63,1,0,0,0,1,266,3,45,0
1990,62,2,0,0,0,0,337,3,40,0
1990,29,2,1,0,0,0,785,5,0,0
1990,22,1,1,0,0,1,379,6,40,0
1990,64,1,2,0,0,0,426,3,35,0
1990,21,1,1,0,0,1,0,0,0,0
1990,19,2,1,0,0,1,274,3,0,0
1990,23,1,1,0,0,1,386,4,15,0
1990,44,1,0,1,0,0,727,1,40,0
1990,41,2,0,1,0,0,407,4,21,0
1990,41,1,2,0,0,1,235,5,40,1
1990,19,2,1,1,0,1,276,3,32,0
1990,39,2,0,1,0,1,447,5,40,0
1990,40,1,0,1,0,0,844,0,40,0
1990,37,1,0,1,0,0,447,5,0,0
1990,35,2,0,1,0,0,686,1,40,0
1990,19,1,1,1,0,0,0,0,0,0
1990,41,2,2,1,0,0,14,5,40,0
1990,30,1,1,0,0,1,276,3,17,0
